"p_val" "avg_log2FC" "pct.1" "pct.2" "p_val_adj"
"Nfkbiz" 0 -1.11301630351987 0.907 1 0
"Hsp90aa1" 0 -1.11309915625384 0.889 1 0
"Anxa1" 0 -1.11586350632401 0.951 1 0
"Shmt2" 0 -1.11657928768065 0.958 1 0
"Adam8" 0 -1.11663714418423 0.934 1 0
"Rpa2" 0 -1.11962895556519 0.87 1 0
"Myb" 0 -1.12191217372203 0.979 1 0
"Socs3" 0 -1.12506175768929 0.951 1 0
"Emp2" 0 -1.12550611031313 0.85 1 0
"Cxcl10" 0 -1.12675037751005 0.91 1 0
"Ccl5" 0 -1.13063605294031 0.922 1 0
"Ube2s" 0 -1.13072393381357 0.841 1 0
"C1galt1c1" 0 -1.13126000624413 0.867 1 0
"Hells" 0 -1.13448960131693 0.908 1 0
"Odc1" 0 -1.14670953390782 0.853 1 0
"Clec4e" 0 -1.14815390052563 0.914 1 0
"Ednrb" 0 -1.14925056095826 0.954 1 0
"Uhrf1" 0 -1.15127820677078 0.935 1 0
"Srsf7" 0 -1.15323284207256 0.91 1 0
"Ier3" 0 -1.16714667960421 0.856 1 0
"Ppa1" 0 -1.16992440280142 0.945 1 0
"Dusp5" 0 -1.17269499387821 0.967 1 0
"Dtl" 0 -1.17457066656171 0.935 1 0
"Olig2" 0 -1.17628940953702 0.837 1 0
"Nptx1" 0 -1.17694580972111 0.887 1 0
"Nt5dc2" 0 -1.18112465125172 0.851 1 0
"C1qbp" 0 -1.18599370460972 0.869 1 0
"Fkbp4" 0 -1.19294427439803 0.903 1 0
"Pcna" 0 -1.19931660694707 0.818 1 0
"Tespa1" 0 -1.20074576530731 0.929 1 0
"Clec9a" 0 -1.2012242264979 0.768 1 0
"Lsm2" 0 -1.20131253342525 0.904 1 0
"Dtymk" 0 -1.20397739095519 0.871 1 0
"Alyref" 0 -1.20565220636439 0.859 1 0
"Kitl" 0 -1.20617820999835 0.942 1 0
"Gmnn" 0 -1.20788196749513 0.867 1 0
"Mrgpra2b" 0 -1.20991460918129 0.964 1 0
"Asprv1" 0 -1.21461442227638 0.931 1 0
"Nrxn2" 0 -1.21705358506612 0.894 1 0
"Rad51" 2.1473803111718e-12 -1.21712978619987 0.027 0.007 1.53967168311018e-09
"Aldh1a3" 0 -1.21715134592343 0.92 1 0
"Plbd1" 0 -1.22054095225251 0.871 1 0
"Rasgef1b" 0 -1.22416846240671 0.872 1 0
"Hmga2" 0 -1.22770508197267 0.868 1 0
"Cd9" 0 -1.22871151815944 0.87 1 0
"AA467197" 0 -1.23372780277855 0.883 1 0
"Tipin" 0 -1.23671330793111 0.853 1 0
"Ms4a2" 0 -1.24013968971029 0.83 1 0
